strain	Antibiotic	Resistance.phenotype	WT_vs_nonWT	nonWT_binary	resistant	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact
KP56-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324295	SAMN37733607	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP56-20	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v10.0	NA	NA	NA	SRR26324294	SAMN37733608	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP57-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324293	SAMN37733609	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP58-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR25627859	SAMN36972018	PRJNA986308		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP59-20	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v10.0	NA	NA	NA	SRR26324292	SAMN37733610	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP60-19	ciprofloxacin	S	wt (S)	0	0	=	0.25	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324291	SAMN37733611	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP61-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324289	SAMN37733612	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP61-20	ciprofloxacin	R	non-wt (I/R)	1	1	>	32	mg/L	MIC (broth dilution)	EUCAST	v10.0	NA	NA	NA	SRR25627857	SAMN36972020	PRJNA986308		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP63-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324288	SAMN37733613	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP64-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR25627854	SAMN36972022	PRJNA986308		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP67-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324287	SAMN37733614	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP69-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324286	SAMN37733615	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP7-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324284	SAMN37733617	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP7-20	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v10.0	NA	NA	NA	SRR26324283	SAMN37733618	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP71-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324285	SAMN37733616	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP72-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR25627849	SAMN36972027	PRJNA986308		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP74-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324282	SAMN37733619	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP75-19	ciprofloxacin	S	wt (S)	0	0	<	0.06	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324281	SAMN37733620	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP78-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324280	SAMN37733621	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP79-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324278	SAMN37733622	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP82-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324277	SAMN37733623	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP83-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324276	SAMN37733624	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP85-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR25627842	SAMN36972033	PRJNA986308		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP86-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324275	SAMN37733625	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP87-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324274	SAMN37733626	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP9-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324272	SAMN37733628	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP90-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324273	SAMN37733627	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KP93-19	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	v9.0	NA	NA	NA	SRR26324271	SAMN37733629	PRJNA1026096		Francesca Saluzzo (francesca.saluzzo@gmail.com)
KPEH004	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH006	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH009	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH016	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH038	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH042	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH054	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH060	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH1061	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH1078	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH1085	ciprofloxacin	S	wt (S)	0	0	<	0.125	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR28040649	SAMN40027604	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPEH1109	ciprofloxacin	S	wt (S)	0	0	<	0.125	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR28040648	SAMN40027605	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPEH1111	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH1116	ciprofloxacin	S	wt (S)	0	0	<	0.125	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR28040637	SAMN40027606	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPEH118	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH128	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR28040626	SAMN40027607	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPEH133	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH134	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH142	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH168	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH186	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH192	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH217	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH227	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH229	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH233	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH255	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH268	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH283	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH296	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH328	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH337	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH349	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH350	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH351	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH353	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR28040615	SAMN40027608	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPEH407	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH412	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH432	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH454	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH525	ciprofloxacin	S	wt (S)	0	0	<	0.125	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH533	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH539	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH556	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH565	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH593	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH594	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR28040604	SAMN40027609	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPEH596	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH600	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH605	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH613	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH615	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH645	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH664	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH746	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH752	ciprofloxacin	R	non-wt (I/R)	1	1	NA	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH771	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH784	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH790	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH809	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH820	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH847	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH881	ciprofloxacin	S	wt (S)	0	0	<	0.125	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR28040598	SAMN40027610	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPEH894	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR28040597	SAMN40027611	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPEH900	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH915	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH929	ciprofloxacin	I	non-wt (I/R)	1	0	NA	0.5	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH930	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR28040596	SAMN40027612	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPEH954	ciprofloxacin	S	wt (S)	0	0	<	0.125	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH970	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH977	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPEH985	ciprofloxacin	R	non-wt (I/R)	1	1	>	2	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA	SRR28040595	SAMN40027613	PRJNA674961		Kelly Wyres (kelly.wyres@monash.edu)
KPEH993	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN001_baker	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2672820	SAMEA4509458	PRJEB14854		Hayley Wilson (hjw58@cam.ac.uk)
KPN002_baker	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2672821	SAMEA4509459	PRJEB14854		Hayley Wilson (hjw58@cam.ac.uk)
KPN004_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693370	SAMEA104076874	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN005_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2696405	SAMEA4786374	PRJEB14854		Hayley Wilson (hjw58@cam.ac.uk)
KPN006_baker	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693369	SAMEA104076872	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN007_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693368	SAMEA104076871	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN008_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693405	SAMEA104076911	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN009_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693404	SAMEA104076910	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN010_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693446	SAMEA104076952	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN011_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693403	SAMEA104076909	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN012_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693402	SAMEA104076908	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN013_baker	ciprofloxacin	R	non-wt (I/R)	1	1	NA	1	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693401	SAMEA104076907	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN014_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693447	SAMEA104076953	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN016_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693448	SAMEA104076954	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN017	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biomerieux	NA					Kelly Wyres (kelly.wyres@monash.edu)
KPN017_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693399	SAMEA104076905	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN018_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693449	SAMEA104076955	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN019_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693398	SAMEA104076904	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN020_baker	ciprofloxacin	R	non-wt (I/R)	1	1	>=	4	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693450	SAMEA104076956	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN021_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693397	SAMEA104076903	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN022_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693396	SAMEA104076902	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN023_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2693451	SAMEA104076957	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
KPN024_baker	ciprofloxacin	S	wt (S)	0	0	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	NA	Vitek	Biom<8e>rieux	NA	ERR2719294	SAMEA104076964	PRJEB20809		Hayley Wilson (hjw58@cam.ac.uk)
