strain	Antibiotic	Resistance.phenotype	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	Accession	Sample.Accession	Study.Accession	PMID	Lab.Contact	Source.Type	Host	Source.details	Infection.status	Country	City	Collection.Year
ERR3479909	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3479909	SAMEA4781576	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3479913	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3479913	SAMEA4781581	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3479931	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3479931	SAMEA4781600	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3479934	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3479934	SAMEA4781603	PRJEB27342	36411354	Edward Feil	Human	Human	Wound Swab	Infection	Italy	Pavia	2018
ERR3479944	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3479944	SAMEA4781613	PRJEB27342	36411354	Edward Feil	Human	Human	Rectal Swab	Colonisation	Italy	Pavia	2018
ERR3479945	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3479945	SAMEA4781614	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3479960	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3479960	SAMEA4781629	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3479965	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3479965	SAMEA4781634	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3479972	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3479972	SAMEA4781641	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3479982	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3479982	SAMEA4781651	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3479987	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3479987	SAMEA4781754	PRJEB27342	36411354	Edward Feil	Human	Human	Rectal Swab	Colonisation	Italy	Pavia	2018
ERR3479988	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3479988	SAMEA4781755	PRJEB27342	36411354	Edward Feil	Human	Human	Rectal Swab	Colonisation	Italy	Pavia	2018
ERR3479992	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3479992	SAMEA4781759	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480017	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480017	SAMEA4781789	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480025	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480025	SAMEA4781804	PRJEB27342	36411354	Edward Feil	Human	Human	Blood	Infection	Italy	Pavia	2018
ERR3480026	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480026	SAMEA4781805	PRJEB27342	36411354	Edward Feil	Animal	Dog	Feces	Unknown	Italy	Pavia	2018
ERR3480031	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480031	SAMEA4781792	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480048	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480048	SAMEA4781825	PRJEB27342	36411354	Edward Feil	Environment	Water	Water	Colonisation	Italy	Pavia	2018
ERR3480057	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480057	SAMEA4781835	PRJEB27342	36411354	Edward Feil	Environment	Soil	Bulk Soil	Colonisation	Italy	Pavia	2018
ERR3480074	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480074	SAMEA4781669	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480084	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480084	SAMEA4781680	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480087	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480087	SAMEA4781683	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480094	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480094	SAMEA4781694	PRJEB27342	36411354	Edward Feil	Human	Human	Rectal Swab	Colonisation	Italy	Pavia	2018
ERR3480096	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480096	SAMEA4781696	PRJEB27342	36411354	Edward Feil	Human	Human	Blood	Infection	Italy	Pavia	2018
ERR3480099	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480099	SAMEA4781700	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480100	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480100	SAMEA4781701	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480101	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480101	SAMEA4781702	PRJEB27342	36411354	Edward Feil	Human	Human	Sputum	Infection	Italy	Pavia	2018
ERR3480103	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480103	SAMEA4781704	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480106	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480106	SAMEA4781707	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480111	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480111	SAMEA4781713	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480112	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480112	SAMEA4781714	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480113	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480113	SAMEA4781715	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480115	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480115	SAMEA4781717	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480122	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480122	SAMEA4781725	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480131	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480131	SAMEA4781738	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480134	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480134	SAMEA4781741	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480136	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480136	SAMEA4781743	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480179	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480179	SAMEA4781876	PRJEB27342	36411354	Edward Feil	Animal	Dog	Urine	Unknown	Italy	Pavia	2018
ERR3480183	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480183	SAMEA4781880	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480192	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480192	SAMEA4781890	PRJEB27342	36411354	Edward Feil	Animal	Dog	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480193	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480193	SAMEA4781891	PRJEB27342	36411354	Edward Feil	Animal	Dog	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480208	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480208	SAMEA4781907	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480210	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480210	SAMEA4781910	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480219	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480219	SAMEA4781923	PRJEB27342	36411354	Edward Feil	Environment	Water	Water	Colonisation	Italy	Pavia	2018
ERR3480226	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480226	SAMEA4781119	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2017
ERR3480229	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480229	SAMEA4781122	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2017
ERR3480235	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480235	SAMEA4781128	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2017
ERR3480256	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480256	SAMEA4781162	PRJEB27342	36411354	Edward Feil	Human	Human	Rectal Swab	Colonisation	Italy	Pavia	2017
ERR3480261	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480261	SAMEA4781169	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2017
ERR3480271	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480271	SAMEA4781184	PRJEB27342	36411354	Edward Feil	Human	Human	Bronchial	Infection	Italy	Pavia	2017
ERR3480272	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480272	SAMEA4781185	PRJEB27342	36411354	Edward Feil	Human	Human	Peritoneal Fluid	Infection	Italy	Pavia	2017
ERR3480282	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480282	SAMEA4781195	PRJEB27342	36411354	Edward Feil	Human	Human	Wound Swab	Infection	Italy	Pavia	2017
ERR3480286	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480286	SAMEA4781200	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2017
ERR3480289	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480289	SAMEA4781205	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2017
ERR3480292	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480292	SAMEA4781208	PRJEB27342	36411354	Edward Feil	Human	Human	Inguinal Swab	Infection	Italy	Pavia	2017
ERR3480296	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480296	SAMEA4781213	PRJEB27342	36411354	Edward Feil	Human	Human	Rectal Swab	Colonisation	Italy	Pavia	2017
ERR3480299	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480299	SAMEA4781216	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480301	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480301	SAMEA4781218	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480308	ciprofloxacin	I	-	0.5	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480308	SAMEA4781225	PRJEB27342	36411354	Edward Feil	Human	Human	Blood	Infection	Italy	Pavia	2018
ERR3480310	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480310	SAMEA4781227	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480335	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480335	SAMEA4781253	PRJEB27342	36411354	Edward Feil	Animal	Other mammals	Rectal Swab	Unknown	Italy	Pavia	2017
ERR3480351	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480351	SAMEA4781271	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480355	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480355	SAMEA4781275	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480359	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480359	SAMEA4781281	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480377	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480377	SAMEA4781298	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480380	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480380	SAMEA4781301	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480381	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480381	SAMEA4781302	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480384	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480384	SAMEA4781305	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480390	ciprofloxacin	R	-	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480390	SAMEA4781312	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480398	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480398	SAMEA4781407	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480402	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480402	SAMEA4781411	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480407	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480407	SAMEA4781416	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480411	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480411	SAMEA4781420	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480412	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480412	SAMEA4781421	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480456	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480456	SAMEA4781465	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480469	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480469	SAMEA4781478	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480471	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480471	SAMEA4781480	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480475	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480475	SAMEA4781484	PRJEB27342	36411354	Edward Feil	Environment	Surface	Swab	Colonisation	Italy	Pavia	2018
ERR3480480	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480480	SAMEA4781489	PRJEB27342	36411354	Edward Feil	Human	Human	Blood	Infection	Italy	Pavia	2018
ERR3480486	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480486	SAMEA4781495	PRJEB27342	36411354	Edward Feil	Human	Human	Rectal Swab	Colonisation	Italy	Pavia	2018
ERR3480489	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480489	SAMEA4781498	PRJEB27342	36411354	Edward Feil	Human	Human	Blood	Infection	Italy	Pavia	2018
ERR3480490	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480490	SAMEA4781499	PRJEB27342	36411354	Edward Feil	Human	Human	Rectal Swab	Colonisation	Italy	Pavia	2018
ERR3480491	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480491	SAMEA4781500	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480503	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480503	SAMEA4781512	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480508	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480508	SAMEA4781517	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480513	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480513	SAMEA4781522	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480516	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480516	SAMEA4781525	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480542	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480542	SAMEA4781552	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480545	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480545	SAMEA4781555	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480548	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480548	SAMEA4781560	PRJEB27342	36411354	Edward Feil	Environment	Surface	Swab	Colonisation	Italy	Pavia	2018
ERR3480549	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480549	SAMEA4781561	PRJEB27342	36411354	Edward Feil	Environment	Surface	Swab	Colonisation	Italy	Pavia	2018
ERR3480550	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480550	SAMEA4781562	PRJEB27342	36411354	Edward Feil	Environment	Surface	Swab	Colonisation	Italy	Pavia	2018
ERR3480551	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480551	SAMEA4781563	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480554	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480554	SAMEA4781313	PRJEB27342	36411354	Edward Feil	Human	Human	Feces	Colonisation	Italy	Pavia	2018
ERR3480565	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480565	SAMEA4781324	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480568	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480568	SAMEA4781327	PRJEB27342	36411354	Edward Feil	Human	Human	Bronchial Alveolar Lavage	Infection	Italy	Pavia	2018
ERR3480581	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480581	SAMEA4781342	PRJEB27342	36411354	Edward Feil	Human	Human	Rectal Swab	Colonisation	Italy	Pavia	2018
ERR3480594	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480594	SAMEA4781355	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480609	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480609	SAMEA4781371	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480614	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480614	SAMEA4781376	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480624	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480624	SAMEA4781386	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480625	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480625	SAMEA4781387	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480628	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480628	SAMEA4781390	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480631	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480631	SAMEA4781393	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480633	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480633	SAMEA4781395	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480639	ciprofloxacin	I	-	0.5	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480639	SAMEA4781933	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480644	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480644	SAMEA4781940	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480645	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480645	SAMEA4781941	PRJEB27342	36411354	Edward Feil	Human	Human	Urine	Infection	Italy	Pavia	2018
ERR3480653	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480653	SAMEA4781949	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480658	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480658	SAMEA4781954	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480661	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480661	SAMEA4781957	PRJEB27342	36411354	Edward Feil	Animal	Cow	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480664	ciprofloxacin	S	<=	0.25	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480664	SAMEA4781960	PRJEB27342	36411354	Edward Feil	Animal	Poultry	Rectal Swab	Unknown	Italy	Pavia	2018
ERR3480668	ciprofloxacin	R	>	1	mg/L	MIC (broth dilution)	EUCAST	-	Phoenix	-	-	ERR3480668	SAMEA4781964	PRJEB27342	36411354	Edward Feil	Human	Human	Blood	Infection	Italy	Pavia	2018
